Year,Week,School,Conference,TotalPenalties,TotalPenaltiesYards,Opponent,HomeAway,Season
2023,-1,Florida International,Conference USA,5,50,Louisiana Tech,away,regular
2023,-1,Louisiana Tech,Conference USA,5,47,Florida International,home,regular
2023,-2,Florida International,Conference USA,8,79,Maine,home,regular
2023,-1,Hawai'i,Mountain West,7,59,Vanderbilt,away,regular
2023,-1,Vanderbilt,SEC,8,72,Hawai'i,home,regular
2023,-2,Stanford,Pac-12,9,81,Hawai'i,away,regular
2023,-2,Hawai'i,Mountain West,11,114,Stanford,home,regular
2023,-1,Jacksonville State,Conference USA,7,65,East Tennessee State,home,regular
2023,-2,Jacksonville State,Conference USA,4,52,UTEP,home,regular
2023,-2,UTEP,Conference USA,5,55,Jacksonville State,away,regular
2023,-2,Louisiana Tech,Conference USA,5,54,SMU,away,regular
2023,-2,SMU,American Athletic,6,42,Louisiana Tech,home,regular
2023,-1,New Mexico State,Conference USA,6,73,Western Illinois,home,regular
2023,-2,UMass,FBS Independents,8,69,New Mexico State,away,regular
2023,-2,New Mexico State,Conference USA,3,40,UMass,home,regular
2023,-1,Ohio,Mid-American,3,30,Long Island University,home,regular
2023,-2,San Diego State,Mountain West,6,57,Ohio,home,regular
2023,-2,Ohio,Mid-American,6,55,San Diego State,away,regular
2023,-1,San Diego State,Mountain West,14,125,Idaho State,home,regular
2023,-1,UTEP,Conference USA,10,102,Incarnate Word,home,regular
2023,-2,Vanderbilt,SEC,3,20,Alabama A&M,home,regular
